id,SimplifiedName,TraditionalName,PinyinName,CategoryName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id,CategoryCode
1,诊断,診斷,zhěn duàn,中医诊断学,diagnosis,0,0,"determination of the nature of a diseased condition; identification of a disease by careful investigation of its symptoms and history; also, the opinion (formally stated) resulting from such investigation",12,3.601.014
2,诊断学,診斷學,zhěn duàn xué,中医诊断学,DIAGNOSTICS,0,0,0,12,3.611.014
3,中恶,中惡,zhōng è,中医内科学,0,name of an extra point,extra point of EX-CA,0,46,3.601.017
4,中寒,中寒,zhōng hán,中医内科学,cold stroke,center cold (cold in the middle jiao),cold in the middle,attack of cold directly to the stomach and intestines,46,3.611.017
5,百合病,百合病,bǎi hé bìng,中医内科学,lily disease,lily disease,lily disease,"ancient term for neurosis characterized by mental strain, listlessness, sleeplessness, anorexia, pseudo heat and pseudo cold, bitterness in the mouth, yellow urine and rapid pulse",46,3.621.017
6,胞痹,胞痹,bāo bì,中医内科学,0,bladder bì,bladder impediment,0,46,3.631.017
7,薄厥,薄厥,báo jué,中医内科学,flopping syncope,emotional syncope,emotional syncope,an acute disease characterized by sudden fainting,46,3.641.017
8,暴喘,暴喘,bào chuǎn,中医内科学,0,sudden panting,sudden dyspnea,0,46,3.651.017
9,暴泻,暴瀉,bào xiè,中医内科学,fulminant diarrhea,fulminant diarrhea,fulminant diarrhea,a pathological change characterized by sudden onset of diarrhea with profuse discharge,46,3.661.017
10,痹病,痹病,bì bìng,中医内科学,impediment disease,bì (痹); bì disease (痹病),①impediment diseases ②arthralgia,"a group of diseases caused by the invasion of wind, cold, dampness or heat pathogen on the meridian/ channel involving muscles, sinews, bones and joints, manifested by local pain, soreness, heaviness, or hotness, and even articular swelling, stiffness and deformities, also referring to arthralgia",46,3.671.017
11,痹证,痹證,bì zhèng,中医内科学,0,bì syndrome (痹证),0,0,46,3.681.017
12,边头风,邊頭風,biān tóu fēng,中医内科学,0,migraine,migraine,0,46,3.691.017
13,藏结,藏結,cáng jié,中医内科学,0,①visceral bind ②visceral constipation,① visceral accumulation ②visceral constipation,0,46,3.701.017
14,藏厥;脏厥,藏厥;髒厥,cáng jué ; zàng jué,中医内科学,visceral syncope,visceral syncope (syncope due to kidney yang debilitation),0,syncope due to yang debilitation of internal organs,46,3.711.017
15,肠痹,腸痹,cháng bì,中医内科学,intestinal impediment,intestine bì,intestine impediment,a type of impediment disease mainly involving the intestines,46,3.721.017
16,肠风,腸風,cháng fēng,中医内科学,0,"intestinal wind (i.e., bloody stool)",bloody defecation; bloody stool,0,46,3.731.017
17,肠澼,腸澼,cháng pì,中医内科学,0,①dysentery ②hemafecia,0,0,46,3.741.017
18,疢难,疢難,chèn nán,中医内科学,0,disease,disease,0,46,3.751.017
19,痴呆,癡呆,chī dāi,中医内科学,dementia,dementia,dementia,"diseases characterized by marked decline of cognitive and intellectual functions, usually progressive, without loss of perception or consciousness",46,3.761.017
20,喘证,喘證,chuǎn zhèng,中医内科学,0,panting syndrome,dyspnea syndrome,0,46,3.771.017
21,春温,春溫,chūn wēn,中医内科学,spring warmth,spring warmth,spring warmth,a warm disease contracted in spring,46,3.781.017
22,纯阴结,純陰結,chún yīn jié,中医内科学,0,pure yin constipation,pure yin constipation,0,46,3.791.017
23,大肠咳,大腸咳,dà cháng hāi,中医内科学,0,large intestinal cough,large intestinal cough,0,46,3.801.017
24,大厥,大厥,dà jué,中医内科学,0,major syncope,major syncope,0,46,3.811.017
25,呆病,呆病,dāi bìng,中医内科学,0,dementia,dementia,0,46,3.821.017
26,胆咳,膽咳,dǎn hāi,中医内科学,0,gallbladder cough,gallbladder cough,0,46,3.831.017
27,胆胀,膽脹,dǎn zhàng,中医内科学,gallbladder distention,gallbladder distention,gallbladder distention,"a diseased condition arising when the gallbladder qi is stagnant, and manifested by recurrent right upper abdominal pain with stuffiness and distension",46,3.841.017
28,癫病,癲病,diān bìng,中医内科学,depressive psychosis,depressive psychosis,depressive psychosis,a psychotic disorder characterized by severe depression,46,3.851.017
29,冬温,冬溫,dōng wēn,中医内科学,0,winter warmth,winter warmth,0,46,3.861.017
30,冬月伏暑,冬月伏暑,dōng yuè fú shǔ,中医内科学,0,latent summerheat occurring in the winter,disease of latent summerheat in winter,0,46,3.871.017
31,洞泄,洞泄,dòng xiè,中医内科学,throughflux diarrhea,through-flux diarrhea,through-flux diarrhea,"diarrhea after eating, with undigested food in the stool",46,3.881.017
32,呃逆,呃逆,è nì,中医内科学,0,hiccup,hiccup; hiccough,0,46,3.891.017
33,翻胃,翻胃,fān wèi,中医内科学,0,regurgitation,regurgitation,0,46,3.901.017
34,肥胖,肥胖,féi pàng,中医内科学,0,obesity,obesity,0,46,3.911.017
35,肺癌,肺癌,fèi ái,中医内科学,0,lung cancer,lung cancer,0,46,3.921.017
