id	taxonomicStatus	scientificName	family	modified	acceptedNameUsageID
04765	accepted	Dietes iridioides (L.) Sweet ex Klatt	Iridaceae	2012-11-15	04765
02030	accepted	Brachystegia laurentii (De Wild.) Louis ex Hoyle	Fabaceae	2012-11-15	02030
02070	accepted	Bridelia ferruginea Benth.	Phyllanthaceae	2012-11-15	02070
02080	accepted	Bridelia micrantha (Hochst.) Baillon	Phyllanthaceae	2012-11-15	02080
02160	accepted	Cadaba farinosa Forssk.	Capparaceae	2012-11-15	02160
02161	synonym	Cadaba mombassana Gilg and Bened.	Capparaceae	2012-11-15	02160
02170	accepted	Cadaba farinosa Forssk.  subsp. farinosa	Capparaceae	2012-11-15	02170
11200	accepted	Schefflera volkensii (Engl.) Harms	Araliaceae	2012-11-15	11200
11210	accepted	Schouwia thebaica Webb	Brassicaceae	2012-11-15	11210
11220	accepted	Schwenckia americana L.	Solanaceae	2012-11-15	11220
08960	accepted	Myrica salicifolia  Hochst. ex A. Rich.	Myricaceae	2012-11-15	08960
08980	accepted	Nauclea latifolia Sm.	Rubiaceae	2012-11-15	08980
08991	synonym	Sarcocephalus pobeguinii Pobéguin ex Pellegr.	Rubiaceae	2012-11-15	08990
09550	accepted	Passiflora edulis Sims	Passifloraceae	2012-11-15	09550
01120	accepted	Ambrosia maritima L.	Asteraceae	2012-11-15	01120
01130	accepted	Ambrosia sp.	Asteraceae	2012-11-15	01130
00615	accepted	Aframomum sp.	Zingiberaceae	2012-11-15	00615
01150	accepted	Ampelocissus grantii (Bak.) Planch.	Vitaceae	2012-11-15	01150
01160	accepted	Anacardium occidentale L.	Anacardiaceae	2012-11-15	01160
01170	accepted	Ananas comosus (L.) Merr.	Bromeliaceae	2012-11-15	01170
01180	accepted	Ananas sativus Schult. f.	Bromeliaceae	2012-11-15	01180
01190	accepted	Andira inermis D.C.	Papilionaceae	2012-11-15	01190
01200	accepted	Andrachne ovalis Müll. Arg.	Euphorbiaceae	2012-11-15	01200
01210	accepted	Andropogon canaliculatus Schumach.	Poaceae	2012-11-15	01210
01220	accepted	Andropogon gayanus Kunth	Poaceae	2012-11-15	01220
10115	accepted	Pittosporum viridiflorum Sims	Pittosparaceae	2012-11-15	10115
10965	accepted	Ruta chalepensis L.	Rutaceae	2012-11-15	10965
09075	accepted	Nigella sativa L.	Ranunculaceae	2012-11-15	09075
08690	accepted	Mitragyna inermis (Willd.) K.Schum.	Rubiaceae	2012-11-15	08690
07901	synonym	Lannea stuhlmannii (Engl.) Engl.	Anacardiaceae	2012-11-15	07900
12901	synonym	Vernonia stipulacea Klatt	Asteraceae	2012-11-15	12900
